time, %usr, %sys, %iowait, %irq, %soft, %idle
01:22:56, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:22:57, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:22:58, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:22:59, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:00, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:01, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:02, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:03, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:04, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:05, 28.00, 0.00, 0.00, 0.00, 0.00, 72.00
01:23:06, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:07, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:08, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:09, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:10, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:11, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:12, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:13, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:14, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:15, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:16, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:17, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:18, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:19, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
01:23:20, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
