core, usr, sys, nice, idle, wait, interval
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 2, 10, 0, 12
2, 10, 0, 0, 1, 0, 11
3, 9, 0, 0, 1, 0, 10
4, 10, 0, 0, 0, 0, 10
5, 9, 0, 0, 1, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 9, 0, 9
2, 9, 0, 0, 1, 0, 10
3, 9, 0, 0, 0, 0, 9
4, 9, 0, 0, 1, 0, 10
5, 9, 0, 0, 0, 0, 9
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 10, 0, 10
2, 10, 0, 0, 0, 0, 10
3, 10, 0, 0, 1, 0, 11
4, 9, 0, 0, 0, 0, 9
5, 9, 0, 0, 1, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 9, 0, 9
2, 10, 0, 0, 1, 0, 11
3, 9, 0, 0, 0, 0, 9
4, 9, 0, 0, 1, 0, 10
5, 10, 0, 0, 0, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 10, 0, 10
2, 10, 0, 0, 0, 0, 10
3, 10, 0, 0, 1, 0, 11
4, 10, 0, 0, 1, 0, 11
5, 10, 0, 0, 1, 0, 11
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 1, 9, 0, 10
2, 9, 0, 0, 1, 0, 10
3, 10, 0, 0, 1, 0, 11
4, 10, 0, 0, 0, 0, 10
5, 9, 0, 0, 0, 0, 9
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 10, 0, 10
2, 10, 0, 0, 0, 0, 10
3, 10, 0, 0, 0, 0, 10
4, 9, 0, 0, 1, 0, 10
5, 10, 0, 0, 1, 0, 11
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 1, 9, 0, 10
2, 8, 0, 0, 1, 0, 9
3, 8, 0, 0, 1, 0, 9
4, 8, 0, 0, 0, 0, 8
5, 8, 0, 0, 0, 0, 8
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 2, 10, 0, 12
2, 9, 0, 1, 0, 0, 10
3, 8, 0, 1, 0, 0, 9
4, 9, 0, 1, 1, 0, 11
5, 9, 0, 1, 1, 0, 11
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 9, 0, 9
1, 0, 0, 0, 9, 0, 9
2, 9, 0, 0, 1, 0, 10
3, 10, 0, 0, 1, 0, 11
4, 9, 0, 0, 0, 0, 9
5, 9, 0, 0, 1, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 1, 10, 0, 11
2, 10, 0, 0, 1, 0, 11
3, 9, 0, 0, 1, 0, 10
4, 10, 0, 0, 1, 0, 11
5, 10, 0, 0, 0, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 1, 9, 0, 10
2, 9, 0, 0, 0, 0, 9
3, 9, 0, 0, 0, 0, 9
4, 9, 0, 0, 0, 0, 9
5, 9, 0, 0, 1, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 9, 0, 9
2, 10, 0, 1, 1, 0, 12
3, 10, 0, 0, 1, 0, 11
4, 9, 0, 0, 1, 0, 10
5, 9, 0, 0, 0, 0, 9
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 10, 0, 10
2, 9, 0, 0, 0, 0, 9
3, 9, 0, 0, 0, 0, 9
4, 10, 0, 0, 1, 0, 11
5, 10, 0, 0, 1, 0, 11
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 1, 9, 0, 10
2, 10, 0, 0, 1, 0, 11
3, 10, 0, 0, 1, 0, 11
4, 10, 0, 0, 0, 0, 10
5, 9, 0, 0, 1, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 10, 0, 10
2, 9, 0, 0, 1, 0, 10
3, 9, 0, 0, 1, 0, 10
4, 9, 0, 0, 1, 0, 10
5, 10, 0, 0, 0, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 1, 9, 0, 10
2, 9, 0, 0, 0, 0, 9
3, 10, 0, 0, 0, 0, 10
4, 9, 0, 0, 0, 0, 9
5, 9, 0, 0, 1, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 0, 10, 0, 10
2, 10, 0, 0, 1, 0, 11
3, 10, 0, 0, 1, 0, 11
4, 10, 0, 0, 1, 0, 11
5, 10, 0, 0, 0, 0, 10
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
1, 0, 0, 1, 9, 0, 10
2, 10, 0, 0, 0, 0, 10
3, 9, 0, 0, 0, 0, 9
4, 9, 0, 0, 0, 0, 9
5, 9, 0, 1, 1, 0, 11
6, 10, 0, 0, 0, 0, 10
0, 0, 0, 0, 10, 0, 10
