time, %usr, %sys, %iowait, %irq, %soft, %idle
02:53:31, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:32, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:33, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:34, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:35, 0.99, 0.00, 0.00, 0.00, 0.00, 99.01
02:53:36, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:37, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:38, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:39, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:40, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:41, 73.74, 20.20, 0.00, 0.00, 0.00, 6.06
02:53:42, 96.00, 4.00, 0.00, 0.00, 0.00, 0.00
02:53:43, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:44, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:45, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:46, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:47, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:48, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:49, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:50, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:51, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:52, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:53, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:54, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:55, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:56, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:57, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:58, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:53:59, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:01, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:02, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:03, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:04, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:05, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:06, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:07, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:08, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:09, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:10, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:11, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:12, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:13, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:14, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:15, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:16, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:17, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:18, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:19, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:20, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:21, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:22, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:23, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:24, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:25, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:26, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:27, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:28, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:29, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:30, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:31, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:32, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:33, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:34, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:35, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:36, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:37, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:38, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:39, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:40, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:41, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:42, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:43, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:44, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:45, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:47, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:48, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:49, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:50, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:51, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:52, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:53, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:54, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:55, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:56, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:57, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:58, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:54:59, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:01, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:02, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:03, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:04, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:05, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:06, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:07, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:08, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:09, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:10, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:11, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:12, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:13, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:14, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:15, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:16, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:17, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:18, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:19, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:20, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:21, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:22, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:23, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:24, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:25, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:26, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:27, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:28, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:29, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:30, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:31, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:32, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:33, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:34, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:35, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:36, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:37, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:38, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:39, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:40, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:41, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:42, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:43, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:44, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:55:45, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
